event,date,doi,selectedPublicationsCount,posInSuggestions,activationSourceComponent,actionDetails
Pub suggested,22:59:16,10.1145/2939672.2939778,10,39,
Pub suggested,22:59:16,10.1016/j.eswa.2014.09.012,10,40,
Pub suggested,22:59:16,10.25300/misq/2014/38.1.04,10,41,
Pub suggested,22:59:16,10.1007/s11042-014-1914-5,10,42,
Pub suggested,22:59:16,10.1007/s11135-014-0040-9,10,43,
Pub suggested,22:59:16,10.1007/978-3-319-00035-0_12,10,44,
Pub suggested,22:59:16,10.2307/2528080,10,45,
Pub suggested,22:59:16,10.1214/aoms/1177729694,10,46,
Pub suggested,22:59:16,10.1080/15389588.2021.1987421,10,47,
Pub suggested,22:59:16,10.1186/s12889-019-7578-3,10,48,
Pub suggested,22:59:16,10.1177/1471082x16642563,10,49,
Pub suggested,22:59:16,10.1002/ecs2.1548,10,50,
Network expanded,22:59:19,,,,,
Pub activated,22:59:24,10.1007/978-3-030-86520-7_40,10,4,network
Pub qd for selected,22:59:38,10.1007/978-3-030-86520-7_40,10,4,network
Pub deactivated,22:59:40,10.1007/978-3-030-86520-7_40,10,4,
Pub added,22:59:40,10.1007/978-3-030-01851-1_24,,,
Pub added,22:59:40,10.1007/978-3-030-86520-7_40,,,
Pub suggested,22:59:42,10.1109/tpami.2021.3056510,12,1,
Pub suggested,22:59:42,10.1109/tnnls.2019.2899381,12,2,
Pub suggested,22:59:42,10.1145/3351095.3372850,12,3,
Pub suggested,22:59:42,10.24963/ijcai.2021/609,12,4,
Pub suggested,22:59:42,10.1145/3442188.3445899,12,5,
Pub suggested,22:59:42,10.1080/01621459.2019.1604370,12,6,
Pub suggested,22:59:42,10.1109/tnnls.2015.2436432,12,7,
Pub suggested,22:59:42,10.1109/ijcnn.2014.6889941,12,8,
Pub suggested,22:59:42,10.1007/978-3-031-15509-3_51,12,9,
Pub suggested,22:59:42,10.3390/e24010042,12,10,
Pub suggested,22:59:42,10.1145/3351095.3372824,12,11,
Pub suggested,22:59:42,10.1016/j.artint.2018.07.007,12,12,
Pub suggested,22:59:42,10.24963/ijcai.2019/876,12,13,
Pub suggested,22:59:42,10.1111/stan.12130,12,14,
Pub suggested,22:59:42,10.1016/j.patcog.2015.09.027,12,15,
Pub suggested,22:59:42,10.1007/978-3-319-23528-8_16,12,16,
Pub suggested,22:59:42,10.1109/ijcnn.2014.6889890,12,17,
Pub suggested,22:59:42,10.1016/j.jspi.2012.06.004,12,18,
Pub suggested,22:59:42,10.1007/978-3-642-20291-9_6,12,19,
Pub suggested,22:59:42,10.1109/icste.2010.5608801,12,20,
Pub suggested,22:59:42,10.1007/978-3-642-03915-7_8,12,21,
Pub suggested,22:59:42,10.1016/j.patrec.2006.06.006,12,22,
Pub suggested,22:59:42,10.1177/0049124100028003001,12,23,
Pub suggested,22:59:42,10.2466/pms.1995.80.3.843,12,24,
Pub suggested,22:59:42,10.2307/1388242,12,25,
Pub suggested,22:59:42,10.1145/2939672.2939778,12,26,
