event,date,doi,title,author,selectedPublicationsCount,posInSuggestions,activationSourceComponent,actionDetails
Pub added,13:52:4,10.1109/tvcg.2010.79,,,,,
Pub activated,13:54:15,10.1109/tvcg.2022.3209450,SizePairs: Achieving Stable and Balanced Temporal Treemaps using Hierarchical Size-based Pairing,Han et al.,24,6,suggested
Pub qd for selected,13:54:18,10.1109/tvcg.2017.2743959,Bubble Treemaps for Uncertainty Visualization,Gortler et al.,24,8,suggested
Pub deactivated,13:54:18,10.1109/tvcg.2022.3209450,SizePairs: Achieving Stable and Balanced Temporal Treemaps using Hierarchical Size-based Pairing,Han et al.,24,6,
Pub activated,13:54:18,10.1109/tvcg.2017.2743959,Bubble Treemaps for Uncertainty Visualization,Gortler et al.,24,8,suggested
Pub activated,13:54:18,10.1109/tvcg.2017.2743959,Bubble Treemaps for Uncertainty Visualization,Gortler et al.,24,8,suggested
Pub qd for selected,13:54:20,10.1109/tvcg.2008.165,Spatially Ordered Treemaps,Wood and Dykes,24,7,suggested
Pub deactivated,13:54:20,10.1109/tvcg.2017.2743959,Bubble Treemaps for Uncertainty Visualization,Gortler et al.,24,8,
Pub activated,13:54:20,10.1109/tvcg.2008.165,Spatially Ordered Treemaps,Wood and Dykes,24,7,suggested
Pub activated,13:54:20,10.1109/tvcg.2008.165,Spatially Ordered Treemaps,Wood and Dykes,24,7,suggested
Pub qd for selected,13:54:28,10.1109/tvcg.2017.2745140,Stable Treemaps via Local Moves,Sondag et al.,24,9,suggested
Pub deactivated,13:54:28,10.1109/tvcg.2008.165,Spatially Ordered Treemaps,Wood and Dykes,24,7,
Pub activated,13:54:28,10.1109/tvcg.2017.2745140,Stable Treemaps via Local Moves,Sondag et al.,24,9,suggested
Pub activated,13:54:28,10.1109/tvcg.2017.2745140,Stable Treemaps via Local Moves,Sondag et al.,24,9,suggested
Pub deactivated,13:54:44,10.1109/tvcg.2017.2745140,Stable Treemaps via Local Moves,Sondag et al.,24,9,
Pub qd for selected,13:54:47,10.1109/tvcg.2022.3209450,SizePairs: Achieving Stable and Balanced Temporal Treemaps using Hierarchical Size-based Pairing,Han et al.,24,6,suggested
Pub activated,13:54:47,10.1109/tvcg.2022.3209450,SizePairs: Achieving Stable and Balanced Temporal Treemaps using Hierarchical Size-based Pairing,Han et al.,24,6,suggested
Pub activated,13:54:47,10.1109/tvcg.2022.3209450,SizePairs: Achieving Stable and Balanced Temporal Treemaps using Hierarchical Size-based Pairing,Han et al.,24,6,suggested
Pub qd for selected,13:54:57,10.1109/isvd.2010.16,Fast Dynamic Voronoi Treemaps,Sud et al.,24,11,suggested
