event,date,doi,title,author,selectedPublicationsCount,posInSuggestions,activationSourceComponent,actionDetails
Clicked doi,13:11:13,10.1111/cgf.14297,Public Data Visualization: Analyzing Local Running Statistics on Situated Displays,Coenen and Moere,3,7,network
Pub qd for selected,13:12:1,10.1111/cgf.14297,Public Data Visualization: Analyzing Local Running Statistics on Situated Displays,Coenen and Moere,3,7,network
Pub deactivated,13:12:6,10.1111/cgf.14297,Public Data Visualization: Analyzing Local Running Statistics on Situated Displays,Coenen and Moere,3,7,
Pub activated,13:12:6,10.1111/cgf.13447,State of the Art of Sports Data Visualization,Perin et al.,3,0,network
Pub activated,13:12:6,10.1111/cgf.13447,State of the Art of Sports Data Visualization,Perin et al.,3,0,network
Pub deactivated,13:12:11,10.1111/cgf.13447,State of the Art of Sports Data Visualization,Perin et al.,3,0,
Pub activated,13:12:11,10.1145/3532106.3533476,Ride with Me: Exploring Group Road Cycling through Contextual Design,Franz and Reilly,3,6,network
Pub activated,13:12:11,10.1145/3532106.3533476,Ride with Me: Exploring Group Road Cycling through Contextual Design,Franz and Reilly,3,6,network
Clicked doi,13:12:15,10.1145/3532106.3533476,Ride with Me: Exploring Group Road Cycling through Contextual Design,Franz and Reilly,3,6,network
Pub excluded,13:12:40,10.1145/3532106.3533476,Ride with Me: Exploring Group Road Cycling through Contextual Design,Franz and Reilly,3,6,network
Pub deactivated,13:12:45,10.1145/3532106.3533476,Ride with Me: Exploring Group Road Cycling through Contextual Design,Franz and Reilly,3,6,
Pub activated,13:12:45,10.1109/iv.2019.00029,Comparison of Visualization Tools for Matches Analysis of a MOBA Game,Afonso et al.,3,11,network
Pub activated,13:12:45,10.1109/iv.2019.00029,Comparison of Visualization Tools for Matches Analysis of a MOBA Game,Afonso et al.,3,11,network
Clicked doi,13:12:50,10.1109/iv.2019.00029,Comparison of Visualization Tools for Matches Analysis of a MOBA Game,Afonso et al.,3,11,network
Network collapsed,13:13:24,,,,,,,
Pub deactivated,13:13:25,10.1109/iv.2019.00029,Comparison of Visualization Tools for Matches Analysis of a MOBA Game,Afonso et al.,3,11,
Pub added,13:13:28,10.1111/cgf.14297,,,,,
Pub suggested,13:13:34,10.1109/mcg.2020.2968244,Reaching Broader Audiences with Data Visualization,Lee et al.,4,1,
Pub suggested,13:13:34,10.1145/2030112.2030166,Understanding my data_ myself:  supporting self-reflection with ubicomp technologies,Li et al.,4,2,
Pub suggested,13:13:34,10.1080/23729333.2023.2189431,Cartography &amp; geovisual analytics in personal contexts: designing for the data creator,Nelson,4,3,
Pub suggested,13:13:34,10.1016/j.ijcci.2023.100565,Tangible data visualization of physical activity for children and adolescents: a qualitative study of temporal transition of experiences,Eslambolchilar et al.,4,4,
Pub suggested,13:13:34,10.1145/3563657.3596120,Being_ Having_ Doing_ and Interacting: a Personal Informatics Approach to Understanding Human Need Satisfaction in Everyday Life,Hoefer and Voida,4,5,
Pub suggested,13:13:34,10.2139/ssrn.4170548,Tangible Data Visualization of Physical Activity for Children and Adolescents: a Qualitative Study of Temporal Transition of Experiences,Eslambolchilar et al.,4,6,
Pub suggested,13:13:34,10.1145/3411764.3445421,Data@Hand: Fostering Visual Exploration of Personal Data on Smartphones Leveraging Speech and Touch Interaction,Kim et al.,4,7,
Pub suggested,13:13:34,10.1145/3357236.3395463,Visualizing Personal Rhythms:  a Critical Visual Analysis of Mental Health in Flux,Snyder,4,8,
Pub suggested,13:13:34,10.1145/3393914.3395875,An Analytical Visualization of Local Running Activity on a Public Display,Coenen and Vande Moere,4,9,
Pub suggested,13:13:34,10.1109/iv.2019.00029,Comparison of Visualization Tools for Matches Analysis of a MOBA Game,Afonso et al.,4,10,
Pub suggested,13:13:34,10.1145/3290605.3300363,Visually Encoding the Lived Experience of Bipolar Disorder,Snyder et al.,4,11,
Pub suggested,13:13:34,10.1145/3286689.3286690,In-situ evaluation of a "What if" approach for eco-feedback,Wambecke et al.,4,12,
Pub suggested,13:13:34,10.1145/3173574.3173728,Self-Reflection and Personal Physicalization Construction,Thudt et al.,4,13,
Pub suggested,13:13:34,10.14236/ewic/hci2018.17,A Taxonomy for Visualisations of Personal Physical Activity Data on Self-Tracking Devices and their Applications,Alrehiely et al.,4,14,
Pub suggested,13:13:34,10.1007/978-3-319-58735-6_11,An Integration of Empirical Study Participants into the Mobile Data Analysis through Information Visualization,Ludwig et al.,4,15,
Pub suggested,13:13:34,10.1109/mcg.2017.23,Expanding Research Methods for a Realistic Understanding of Personal Visualization,Thudt et al.,4,16,
Pub suggested,13:13:34,10.1145/3154862.3154881,Understanding self-reflection:  how people reflect on personal data through visual data exploration,Choe et al.,4,17,
Pub suggested,13:13:34,10.1080/07370024.2016.1276456,Personal Informatics_ Self-Insight_ and Behavior Change: a Critical Review of Current Literature,Kersten-van Dijk et al.,4,18,
Pub suggested,13:13:34,10.1145/2909132.2909267,Go and Grow:  Mapping Personal Data to a Living Plant,Botros et al.,4,19,
Pub suggested,13:13:34,10.1145/2957276.2957293,Help Me Help You:  Shared Reflection for Personal Data,Graham et al.,4,20,
Pub suggested,13:13:34,10.1109/mcg.2016.100,Using Gap Charts to Visualize the Temporal Evolution of Ranks and Scores,Perin et al.,4,21,
Pub suggested,13:13:34,10.1109/mcg.2015.71,Visualizing Personal Progress in Participatory Sports Cycling Events,Wood,4,22,
Pub suggested,13:13:34,10.1109/tvcg.2014.2352953,Activity Sculptures: Exploring the Impact of Physical Visualizations on Running Activity,Stusak et al.,4,23,
Pub suggested,13:13:34,10.1109/icdmw.2014.167,Identifying Team Style in Soccer Using Formations Learned from Spatiotemporal Tracking Data,Bialkowski et al.,4,24,
Pub suggested,13:13:34,10.1145/2669557.2669564,Pre-design empiricism for information visualization:  scenarios_ methods_ and challenges,Brehmer et al.,4,25,
Pub suggested,13:13:34,10.2519/jospt.2010.3166,Reducing Impact Loading during Running with the Use of Real-Time Visual Feedback,Crowell et al.,4,26,
Pub suggested,13:13:34,10.1109/tvcg.2010.164,How Information Visualization Novices Construct Visualizations,Grammel et al.,4,27,
Pub suggested,13:13:34,10.1145/1357054.1357335,Activity sensing in the wild:  a field trial of ubifit garden,Consolvo et al.,4,28,
