event,date,doi,selectedPublicationsCount,posInSuggestions,activationSourceComponent,actionDetails
Pub suggested,10:59:35,10.1109/tvcg.2017.2752166,8,17,
Pub suggested,10:59:35,10.1111/cgf.13217,8,18,
Pub suggested,10:59:35,10.15701/kcgs.2016.22.5.27,8,19,
Pub suggested,10:59:35,10.1109/pacificvis.2015.7156366,8,20,
Pub suggested,10:59:35,10.1145/2339530.2339706,8,21,
Pub suggested,10:59:35,10.1109/mcg.2011.103,8,22,
Pub suggested,10:59:35,10.1109/tvcg.2010.85,8,23,
Pub suggested,10:59:35,10.1109/tvcg.2009.171,8,24,
Pub suggested,10:59:35,10.1109/tvcg.2009.202,8,25,
Pub suggested,10:59:35,10.1057/palgrave.ivs.9500180,8,26,
Pub suggested,10:59:35,10.1145/1124772.1124919,8,27,
Pub suggested,10:59:35,10.1145/302979.303148,8,28,
Pub suggested,10:59:35,10.1145/223904.223912,8,29,
Pub suggested,10:59:35,10.3390/jpm12091359,8,30,
Pub suggested,10:59:35,10.1109/tvcg.2012.252,8,31,
Pub suggested,10:59:35,10.1145/1056808.1057069,8,32,
Pub suggested,10:59:35,10.1007/s41095-020-0191-7,8,33,
Pub suggested,10:59:35,10.1109/tvcg.2018.2835485,8,34,
Pub suggested,10:59:35,10.1145/3385729,8,35,
Pub suggested,10:59:35,10.1007/s12650-018-0531-1,8,36,
Pub suggested,10:59:35,10.1109/tvcg.2011.239,8,37,
Pub suggested,10:59:35,10.1109/infvis.2000.885098,8,38,
Pub suggested,10:59:35,10.1002/asi.24578,8,39,
Pub suggested,10:59:35,10.3390/app10207248,8,40,
Pub suggested,10:59:35,10.1145/1835804.1835827,8,41,
Pub suggested,10:59:35,10.1109/2945.981848,8,42,
Pub suggested,10:59:35,10.1109/tvcg.2013.212,8,43,
Pub suggested,10:59:35,10.1109/tvcg.2016.2598827,8,44,
Pub suggested,10:59:35,10.1109/tvcg.2014.2346431,8,45,
Pub suggested,10:59:35,10.1109/mc.2013.76,8,46,
Pub suggested,10:59:35,10.1109/tvcg.2011.220,8,47,
Pub suggested,10:59:35,10.1145/1121949.1121979,8,48,
Pub suggested,10:59:35,10.1002/asi.5090140103,8,49,
Pub suggested,10:59:35,10.1109/pacificvis52677.2021.00037,8,50,
Network expanded,10:59:38,,,,,
Pub activated,10:59:50,10.1109/access.2019.2929754,8,2,network
Pub qd for selected,10:59:58,10.1109/access.2019.2929754,8,2,
Change Network Mode,11:0:0,,,,,Timeline
Pub activated,11:0:4,10.1016/j.cag.2022.02.005,8,10,network
Pub qd for selected,11:0:7,10.1016/j.cag.2022.02.005,8,10,
Update,11:0:23,,,,,
Pub added,11:0:23,10.1109/access.2019.2929754,,,
Pub added,11:0:23,10.1016/j.cag.2022.02.005,,,
Pub suggested,11:0:24,10.1109/tvcg.2016.2610422,10,1,
Pub suggested,11:0:24,10.1109/tvcg.2016.2615308,10,2,
Pub suggested,11:0:24,10.1002/asi.22652,10,3,
Pub suggested,11:0:24,10.1109/tvcg.2018.2834341,10,4,
Pub suggested,11:0:24,10.1109/tvcg.2018.2865022,10,5,
Pub suggested,11:0:24,10.3390/informatics4020011,10,6,
Pub suggested,11:0:24,10.1109/tvcg.2013.167,10,7,
Pub suggested,11:0:24,10.1111/j.1467-8659.2011.01921.x,10,8,
Pub suggested,11:0:24,10.1145/3399715.3399830,10,9,
Pub suggested,11:0:24,10.1007/s00371-019-01721-7,10,10,
Pub suggested,11:0:24,10.1109/tvcg.2013.162,10,11,
Pub suggested,11:0:24,10.1145/2339530.2339706,10,12,
Pub suggested,11:0:24,10.1145/3531073.3534466,10,13,
Pub suggested,11:0:24,10.1145/3406522.3446037,10,14,
Pub suggested,11:0:24,10.1109/access.2018.2815030,10,15,
Pub suggested,11:0:24,10.1111/cgf.13217,10,16,
Pub suggested,11:0:24,10.1109/pacificvis.2015.7156366,10,17,
Pub suggested,11:0:24,10.1109/tvcg.2010.85,10,18,
Pub suggested,11:0:24,10.1109/tvcg.2009.202,10,19,
Pub suggested,11:0:24,10.1109/tvcg.2009.171,10,20,
